"date","title","text","article_url","incautaciones","tires","year","month","year_month"
"2023/06/04 09:43:54","Efectúan el registro de tres inmuebles e incautan 182 cubiertas ilegales","Efectivos de la Unidad de Investigaciones de Delitos Complejos y Procedimientos Judiciales “Jujuy”, llevaron a cabo tareas de investigación, en el marco de una causa por infracción a la Ley 22.415 “Código Aduanero”, pudiendo establecer la existencia de una organización que se dedicaba al acopio y venta de neumáticos extranjeros.

Por disposición del Juzgado Federal de Garantías de Salta e intervención de la Unidad Fiscal Federal de Salta, los uniformados realizaron allanamientos en tres domicilios ubicados en la localidad de Monterrico.

Como resultado de los registros, personal de la Fuerza decomisó 182 cubiertas de diferentes modelos, cinco camiones con acoplados, cuatro camionetas, un automóvil, 6.922.100 pesos argentinos, 90.030 dólares estadounidenses y teléfonos celulares.

Asimismo, dos hombres y una mujer quedaron supeditados a la causa.","https://www.argentina.gob.ar/noticias/efectuan-el-registro-de-tres-inmuebles-e-incautan-182-cubiertas-ilegales","182 cubiertas",182,2023,6,2023.06
"2023/06/02 13:40:34","Incautan 353 kilos de hojas de coca y 288 cubiertas ilegales","En la mañana de ayer, efectivos del Grupo ""Burruyacú"", perteneciente al Escuadrón 55 “Tucumán”, decomisaron un total de 293 kilos de hojas de coca en estado natural, que se encontraban distribuidos en 54 bultos dentro de la cabina de un camión.

Asimismo, el Juzgado Federal N° 1 de Tucumán dispuso que los ocupantes del rodado, dos hombres mayores de edad, quedaran supeditados a la causa.

Horas más tarde, en la provincia de Santiago del Estero, gendarmes del Escuadrón 59 llevaron a cabo el registro de dos colectivos de larga distancia, utilizados para tour de compras, los cuales provenían de la provincia de Salta.

Como resultado del control de los transportes, el personal de la Fuerza halló un total de 288 neumáticos de diferentes rodados y 60 kilos de hojas de coca, los mismos eran llevados sin la documentación correspondiente.

Los efectivos procedieron a secuestrar los elementos encontrados. Mientras que, 16 personas, quienes eran propietarios de la mercadería, quedaron a disposición del Juzgado Federal N° 2 de Santiago del Estero.","https://www.argentina.gob.ar/noticias/incautan-353-kilos-de-hojas-de-coca-y-288-cubiertas-ilegales","288 cubiertas",288,2023,6,2023.06
"2023/05/31 12:46:12","Transportaba 574 kilos de hojas de coca y 55 neumáticos ilegales","Ayer, personal del Escuadrón 55 “Tucumán” procedieron a inspeccionar un transporte de cargas generales sobre el kilómetro 1.358 de la Ruta Nacional N° 9, a la altura del Peaje Molle Yaco.

Como resultado del registro del rodado, los funcionarios constataron la presencia de 60 encomiendas, que contenían 574 kilos de hojas de coca en estado natural y 55 cubiertas de diferentes rodados.

Intervino en el hecho el Juzgado Federal N°1 de Tucumán, que dispuso el decomiso de la totalidad de la mercadería, por encontrarse en presunta infracción a la Ley 22.415 “Código Aduanero”.","https://www.argentina.gob.ar/noticias/transportaba-574-kilos-de-hojas-de-coca-y-55-neumaticos-ilegales","55 neumáticos",55,2023,5,2023.05
"2023/05/29 08:52:00","Decomisan 211 neumáticos ilegales que eran trasladados en un ómnibus","Efectivos de la Sección “Monte Caseros”, dependiente del Escuadrón 57 “Santo Tomé”, se encontraban realizando un operativo de control vial sobre el kilómetro 669 de la Ruta Nacional N° 14, localidad correntina de Cuay Grande, cuando observaron que un automóvil circulaba junto con un transporte de pasajeros, cuyo vehículo había pasado de manera frecuente por el dispositivo de la Fuerza, hecho que alertó a los gendarmes.

Seguidamente, los funcionarios procedieron a detener la marcha y efectuaron el registro de ambos rodados, en el interior del ómnibus constataron la presencia de 211 cubiertas de origen extranjero distribuidas en diferentes sectores (pasillo, bodega y sobre los asientos), las cuales eran llevadas sin el aval aduanero correspondiente.

En el rodado de menor porte viajaban integrantes de un tour de compras, provenientes de la provincia de Misiones con destino final Santa Fe, quienes eran propietarios de los neumáticos.

El Juzgado Federal y la Fiscalía Federal de Paso de Los Libres dispusieron el secuestro de la mercadería, valuada en 10.038.800 pesos argentinos, el labrado de las actuaciones como así también que se diera intervención del personal de AFIP-DGA. Además, los involucrados quedaron supeditados a la causa, en presunta infracción a la Ley 22.415 “Código Aduanero”.","https://www.argentina.gob.ar/noticias/decomisan-211-neumaticos-ilegales-que-eran-trasladados-en-un-omnibus","211 neumáticos",211,2023,5,2023.05
"2023/05/27 11:41:14","Evadió el control vial y despistó con su camioneta cargada con cigarrillos ilegales","En horas de la madrugada, personal de la Sección “Núcleo”, dependiente del Escuadrón 10 “Eldorado”, se encontraba llevando a cabo operaciones de control vial a la altura del kilómetro 24 de la Ruta Provincial Nº 17, en la localidad de 9 de Julio cuando observaron a una camioneta que se aproximaba, pasar por el control y huir a gran velocidad.

Ante esta situación, y bajo la sospecha de encontrarse frente a un hecho ilícito, se inició la búsqueda del rodado evadido. A los pocos kilómetros, los gendarmes pudieron ver marcas de neumáticos sobre el asfalto, que indicaban maniobras buscas, así como varias cajas de cigarrillos dispersas en el lugar.

A seguir el rastro de marcas y cigarrillos, los funcionarios observaron el vehículo que trataban de hallar, con su ocupante aún en el interior, quien había sufrido lesiones leves. Inmediatamente solicitaron asistencia médica y el masculino fue trasladado en ambulancia al hospital Samic de Eldorado.

Intervino el Juzgado y la Fiscalía Federal de Eldorado que, junto al personal de AFIP- DGA de Puerto Iguazú orientaron que se incaute el vehículo (sobre el cual pesaba un pedido de secuestro por robo en la provincia de Buenos Aires), así como totalidad de la carga, cuyo conteo arrojó un total de 14.000 paquetes de cigarrillos en infracción a la Ley 22.415.

Asimismo, el magistrado interviniente dispuso que el ciudadano involucrado, una vez que reciba el alta médica, quede supeditado a la causa.","https://www.argentina.gob.ar/noticias/evadio-el-control-vial-y-despisto-con-su-camioneta-cargada-con-cigarrillos-ilegales",NA,NA,2023,5,2023.05
"2023/05/27 08:20:38","Intentaban contrabandear neumáticos ilegales ocultos en una carga de arena","Ayer, efectivos de la Sección Seguridad Vial “Lapachito” dependientes del Escuadrón 14 “Las Palmas” llevaban a cabo un control de prevención vial emplazados en la intersección de la Ruta Nacional N°11 con la Ruta Provincial N°56, en el Departamento de Bermejo, cuando detuvieron la marcha de un transporte de cargas generales que circulaba con itinerario la ciudad de Formosa – Villa Berthet (Chaco).

Al momento de la requisa del semirremolque del rodado, los funcionarios constataron que el mismo trasladaba arena. Asimismo, siguiendo con la inspección, detectaron seis neumáticos extranjeros sin documentación que avale su legal origen y tenencia, ocultos debajo del cargamento.

Intervino el Juzgado Federal N°1 de Resistencia que ordenó la incautación de las ruedas y que el conductor involucrado quede supeditado a la causa en infracción a la Ley 22.415 del “Código Aduanero”.","https://www.argentina.gob.ar/noticias/intentaban-contrabandear-neumaticos-ilegales-ocultos-en-una-carga-de-arena",NA,NA,2023,5,2023.05
"2023/05/23 15:07:57","Secuestran 128 neumáticos que eran transportados en infracción a la Ley Aduanera","Ayer, personal de la Agrupación Especial de Despliegue Rápido “Gral. D Martin Miguel de Güemes”, realizaba un control sobre Ruta Nacional N° 174, a la altura del peaje “Isla La Deseada” (puente Rosario – Victoria), momentos en los que proceden a detener la marcha de un trasporte de encomiendas procedente de la provincia de Misiones y con destino final la ciudad de Rosario.

Al realizar la inspección de la carga, los gendarmes constataron la presencia de 128 neumáticos de diferentes rodados y marcas, de industria extranjera, que eran transportados en presunta infracción a la Ley 22.415, dado que el propietario no contaba con el correspondiente aval aduanero.

Con intervención del Juzgado Federal de Victoria, como así también de AFIP-DGI de las ciudades de Diamante (Entre Ríos) y Rosario, se procedió al secuestro de las cubiertas.","https://www.argentina.gob.ar/noticias/secuestran-128-neumaticos-que-eran-transportados-en-infraccion-la-ley-aduanera","128 neumáticos",128,2023,5,2023.05
"2023/05/21 15:20:41","Secuestran en Esquel cubiertas ilegales","Hoy, efectivos de la Sección Núcleo del Escuadrón 36 Esquel ""Subalferez Guillermo Nasif"", efectuaban un control de ruta y prevención de seguridad vial a la altura de la Portada de Acceso a la localidad de Esquel cuando detuvieron la marcha de un vehículo utilitario Fiat Fiorino.

Los gendarmes al realizar la inspección, constataron la presencia de neumáticos que eran transportados en presunta infracción a la Ley 22.415 (Código Aduanero).

El propietario del rodado, mayor de edad, no contaba con el correspondiente aval aduanero por lo que los uniformados incautaron 28 cubiertas de diferentes rodados y características de procedencia extranjera.

Intervino la Fiscalía Federal de la ciudad como así también la Delegación de Aduana de Esquel, que orientaron que se labren las actuaciones correspondientes y se decomise la mercadería.","https://www.argentina.gob.ar/noticias/secuestran-en-esquel-cubiertas-ilegales",NA,NA,2023,5,2023.05
"2023/05/19 09:58:23","Decomisan en dos controles viales 740 kilos de hojas de coca, 4300 paquetes de cigarrillos y 14 cubiertas ilegales","Personal de la Sección “Aguas Blancas”, dependiente del Escuadrón 20 “Orán”, se encontraba emplazado sobre la Ruta Nacional N° 50, a la altura del kilómetro 67, cuando observaron que varios vehículos emprendieron una veloz huida al percatarse de la presencia de los uniformados.

Seguidamente, a unos metros, los ocupantes de los rodados descendieron del mismo con bultos sobre sus espaldas y se introdujeron dentro de la maleza.

Como resultado de un rastrillaje por el lugar, los gendarmes descubrieron bultos de grandes dimensiones, que contenían un total de 120 kilos de hojas de coca y seis cubiertas ilegales.

En un segundo operativo, los integrantes de la Sección Núcleo, perteneciente a la misma Unidad, divisaron que una caravana de 30 automóviles se acercaba al dispositivo vial de la Fuerza, ubicado sobre la Ruta Nacional N° 50, cuyos conductores efectuaron un giro en “U” y se dieron a la fuga.

Al estar frente a un hecho delictivo, los efectivos iniciaron un seguimiento controlado de los vehículos y observaron que aproximadamente 30 personas habían descendido de los automóviles con bultos, quienes comenzaron a arrojar piedras hacia los rodados de la Institución.

Luego, los uniformados encontraron 38 bolsas abandonadas (con características similares a las utilizadas para el contrabando de mercadería) entre la vegetación, que contenían 620 kilos de hojas de coca, 4.300 atados de cigarrillos y ocho cubiertas.

En los procedimientos intervino la Fiscalía Federal de Orán, que dispuso el secuestro de la totalidad de los elementos hallados y el labrado de las actuaciones en infracción a la Ley 22.415 “Código Aduanero”.","https://www.argentina.gob.ar/noticias/decomisan-en-dos-controles-viales-740-kilos-de-hojas-de-coca-4300-paquetes-de-cigarrillos-y","14 cubiertas",14,2023,5,2023.05
"2023/05/18 18:05:38","Secuestraron 74 neumáticos, marihuana, armas y animales faenados","En el primer operativo, efectivos dependientes del Escuadrón 65 “Córdoba” a la altura del kilómetro 758,5 de la Ruta Nacional N° 9, en conjunto con integrantes de la Policía Rural provincial, procedieron a controlar un ómnibus cuando observaron que en el sector de la bodega había mercadería en presunta infracción a la Ley 22.415.

En consecuencia, se tomó contacto con representantes de Aduana Delegación Córdoba, y se dispuso la incautación de los 40 neumáticos de diferentes marcas y rodados, quedando a resguardo en el depósito judicial de la Unidad de Gendarmería.

Asimismo, el perro antinarcóticos reaccionó al pasar por una de las butacas, donde había un paquete de cigarrillos que contenía 6,10 gramos de marihuana. Se dio intervención a la Fiscalía de Lucha contra el Narcotráfico.

El pasado martes, uniformados de la Sección Seguridad Vial “Sinsacate” interdictaron encomiendas con 34 cubiertas sin el correspondiente aval.

Mientras tanto, integrantes del Escuadrón Vial “Santa Catalina” secuestraron sobre la Ruta Nacional N° 30, Alpa Corral, una escopeta calibre 12 con 22 municiones, un fusil calibre 308, dos carabinas con 18 municiones y dos jabalíes faenados. Se labraron actuaciones en infracción a la Ley 22.421.","https://www.argentina.gob.ar/noticias/secuestraron-74-neumaticos-marihuana-armas-y-animales-faenados","74 neumáticos",74,2023,5,2023.05
